Afghanistan,2008,1117
Albania,2008,716
Algeria,2008,523
Andorra,2008,338
Angola,2008,842
Antigua and Barbuda,2008,548
Argentina,2008,501
Armenia,2008,902
Australia,2008,330
Austria,2008,373
Azerbaijan,2008,935
Bahamas,2008,457
Bahrain,2008,590
Bangladesh,2008,702
Barbados,2008,488
Belarus,2008,749
Belgium,2008,367
Belize,2008,497
Benin,2008,804
Bhutan,2008,735
Bolivia (Plurinational State of),2008,644
Bosnia and Herzegovina,2008,584
Botswana,2008,606
Brazil,2008,534
Brunei Darussalam,2008,520
Bulgaria,2008,693
Burkina Faso,2008,810
Burundi,2008,839
Cabo Verde,2008,538
Cambodia,2008,748
Cameroon,2008,879
Canada,2008,346
Central African Republic,2008,870
Chad,2008,866
Chile,2008,419
China,2008,604
Colombia,2008,404
Comoros,2008,789
Congo,2008,811
Cook Islands,2008,455
Costa Rica,2008,409
Côte d’Ivoire,2008,942
Croatia,2008,560
Cuba,2008,468
Cyprus,2008,371
Czech Republic,2008,496
Democratic People's Republic of Korea,2008,548
Democratic Republic of the Congo,2008,837
Denmark,2008,440
Djibouti,2008,809
Dominica,2008,632
Dominican Republic,2008,573
Ecuador,2008,400
Egypt,2008,749
El Salvador,2008,523
Equatorial Guinea,2008,854
Eritrea,2008,670
Estonia,2008,585
Ethiopia,2008,903
Fiji,2008,752
Finland,2008,377
France,2008,336
Gabon,2008,660
Gambia,2008,735
Georgia,2008,670
Germany,2008,394
Ghana,2008,711
Greece,2008,388
Grenada,2008,580
Guatemala,2008,471
Guinea,2008,932
Guinea-Bissau,2008,916
Guyana,2008,677
Haiti,2008,697
Honduras,2008,729
Hungary,2008,648
Iceland,2008,332
India,2008,685
Indonesia,2008,647
Iran (Islamic Republic of),2008,599
Iraq,2008,691
Ireland,2008,385
Israel,2008,337
Italy,2008,342
Jamaica,2008,518
Japan,2008,273
Jordan,2008,727
Kazakhstan,2008,985
Kenya,2008,681
Kiribati,2008,703
Kuwait,2008,399
Kyrgyzstan,2008,913
Lao People's Democratic Republic,2008,771
Latvia,2008,666
Lebanon,2008,597
Lesotho,2008,774
Liberia,2008,766
Libya,2008,655
Lithuania,2008,637
Luxembourg,2008,362
Madagascar,2008,706
Malawi,2008,999
Malaysia,2008,526
Maldives,2008,598
Mali,2008,733
Malta,2008,391
Marshall Islands,2008,1289
Mauritania,2008,746
Mauritius,2008,664
Mexico,2008,493
Micronesia (Federated States of),2008,704
Monaco,2008,320
Mongolia,2008,713
Montenegro,2008,640
Morocco,2008,597
Mozambique,2008,908
Myanmar,2008,667
Namibia,2008,791
Nauru,2008,1092
Nepal,2008,620
Netherlands,2008,377
New Zealand,2008,369
Nicaragua,2008,499
Niger,2008,647
Nigeria,2008,809
Niue,2008,558
Norway,2008,363
Oman,2008,648
Pakistan,2008,711
Palau,2008,587
Panama,2008,394
Papua New Guinea,2008,748
Paraguay,2008,470
Peru,2008,387
Philippines,2008,599
Poland,2008,546
Portugal,2008,394
Qatar,2008,392
Republic of Korea,2008,355
Republic of Moldova,2008,831
Romania,2008,643
Russian Federation,2008,797
Rwanda,2008,740
Saint Kitts and Nevis,2008,640
Saint Lucia,2008,517
Saint Vincent and the Grenadines,2008,596
Samoa,2008,683
San Marino,2008,312
Sao Tome and Principe,2008,605
Saudi Arabia,2008,644
Senegal,2008,665
Serbia,2008,712
Seychelles,2008,591
Sierra Leone,2008,763
Singapore,2008,313
Slovakia,2008,595
Slovenia,2008,405
Solomon Islands,2008,623
Somalia,2008,967
South Africa,2008,635
Spain,2008,351
Sri Lanka,2008,623
Sudan,2008,897
Suriname,2008,572
Swaziland,2008,867
Sweden,2008,358
Switzerland,2008,323
Syrian Arab Republic,2008,619
Tajikistan,2008,730
Thailand,2008,675
The former Yugoslav Republic of Macedonia,2008,688
Timor-Leste,2008,560
Togo,2008,716
Tonga,2008,670
Trinidad and Tobago,2008,673
Tunisia,2008,465
Turkey,2008,590
Turkmenistan,2008,1016
Tuvalu,2008,1015
Uganda,2008,888
Ukraine,2008,823
United Arab Emirates,2008,406
United Kingdom,2008,401
United Republic of Tanzania,2008,745
United States of America,2008,418
Uruguay,2008,524
Uzbekistan,2008,838
Vanuatu,2008,687
Venezuela (Bolivarian Republic of),2008,433
Viet Nam,2008,607
Yemen,2008,807
Zambia,2008,938
Zimbabwe,2008,622
